order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD033408,ID0579410795,2019-03-30,Thompson,"[('iStream', 1), ('pearTV', 2), ('iAssist Line', 1)]",14995,76.82,-37.8221923,144.96805849999996,15,12822.57,Autumn,True,0.4214,renewal is great the price was perfect and it works good,True
ORD406627,ID0355818813,2019-11-10,Bakers,"[('iStream', 1), ('pearTV', 1)]",6460,97.49,-37.8073806,144.9981959,5,6234.49,Spring,True,0.3908,the best best phone ive owned,True
ORD128696,ID0332546101,2019-07-03,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2)]",5310,64.11,-37.8060917,144.9447994,15,4577.61,Winter,False,0.7593,great phone! awesome phone would definitely buy again! (if i broke this one),True
ORD033188,ID4353937734,2019-06-12,Bakers,"[('Olivia x460', 1), ('Toshika 750', 1)]",5545,72.59,-37.8249245,145.0111166,10,5063.09,autumn,False,2.1709,good great phone,True
ORD398245,ID4297530196,2019-11-29,Bakers,"[('Alcon 10', 1), ('Olivia x460', 2)]",11400,106.82,-37.801224,144.98386509999997,10,10366.82,Spring,True,1.3975,"great phone until i dropped it great phone until i dropped it. fast, clean, decent price. no bloatware, unless you count some of the lucent stuff like the hand motions and the lucent version of siri. both of which i found useful, especially the shake for flashlight.",True
ORD046064,ID0363385474,2019-08-28,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1), ('Candle Inferno', 1), ('Lucent 330S', 2)]",9660,81.77,-37.79935089999999,144.9594941,5,9258.77,Winter,True,1.8421,None,True
ORD407386,ID6167191158,2019-08-20,Nickolson,"[('iAssist Line', 2), ('Universe Note', 1), ('Olivia x460', 1)]",9125,63.59,-37.81539220000001,144.9665197,10,8276.09,Winter,False,0.4452,five stars i love everything about this phone,False
ORD427450,ID6167344363,2019-05-27,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 1)]",6770,77.25,-37.8148453,144.9688857,25,5154.75,Autumn,True,0.4215,"excellent value for the money!!! works well for at&t lte network i highly recommend this phone! very fast! read my sim card right away once installed. notice the ""lte"" on the pic. has a solid build and feel to it and very hefty which is a major plus for me. definitely five stars!!!",True
ORD239188,ID0248746968,2019-05-18,Bakers,"[('Thunder line', 1), ('Candle Inferno', 1), ('pearTV', 1), ('Lucent 330S', 1)]",10150,80.25,-37.8179312,144.9934494,15,8707.75,Autumn,True,0.8971,very satisfied with the thunder. iassist now controls the lights in my family room and my wife can listen to jimmy buffet by just asking iassist.,True
ORD349262,ID0581712769,2019-05-16,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 1)]",4640,69.67,-37.8059974,144.9295055,5,4477.67,Autumn,False,1.7141,five stars fun little phone.,True
ORD206995,ID0575529523,2019-06-01,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2), ('Olivia x460', 1), ('iStream', 1)]",8195,81.37,-37.8236865,144.98682019999995,5,7866.62,Winter,True,1.6208,five stars great phone,True
ORD125700,ID2189377524,2019-19-07,Nickolson,"[('Lucent 330S', 2), ('Universe Note', 2)]",9360,79.99,-37.8082425,144.976149,5,8971.99,Winter,True,1.2902,"very good phone i am universe note user. this is a very good phone. battery life is pretty fine. fast shipping and item is very good condition. i gave 4 star because it came with defective charger. i like the note 4 s pen the most, this one is very complicated to use,",True
ORD344403,ID6167441009,2019-12-31,nickolson,"[('Lucent 330S', 1), ('iStream', 1), ('Alcon 10', 1)]",10330,79.99,-37.807154,144.9600704,5,9893.49,Summer,False,1.298,five stars good,True
ORD406758,ID4909776709,2019-06-03,Bakers,"[('pearTV', 1), ('Alcon 10', 2), ('Thunder line', 1), ('Toshika 750', 1)]",30710,53.65,-37.8230304,145.0001615,0,30763.65,Winter,False,1.5143,que no vendan celulares que digan desbloqueado y tengan deuda con la compañía no me agrado porque venden cosas desbloqueadas y no están liberadas estan con deudas hacen perderse tiempo y es molesto pensé que eran más profesionales y vendían productos exactamente como dice en la descripción yo pague lo de aduanas y eso nadie me lo va a delvover,True
ORD213334,ID6147536422,2019-10-10,Thompson,"[('Toshika 750', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",11230,67.8,-37.8216085,144.933785,5,10736.3,Spring,True,1.5342,"do not buy 3 months after purchase, last week 'no service' shown on alcon , i contacted pear store and they sent my alcon to repair, i got it back yesterday ; alcon worked for a few hours, then 'no service' shown again, can't make call/receive a call; total waste!!!",False
ORD083267,ID0993190002,2019-03-19,Nickolson,"[('iAssist Line', 2), ('iStream', 2), ('Alcon 10', 1), ('Thunder line', 1)]",15880,61.89,-37.8201023,144.968385,0,15941.89,Autumn,True,0.1966,one star died in 3 months.,False
