order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD173027,ID5002595025,2019-08-13,,"[('pearTV', 2), ('iAssist Line', 2)]",17070.0,62.72,-37.8125484,144.95311759999996,15,14572.22,Winter,False,,nice good,1.0
ORD388411,ID6167229080,2019-03-03,Thompson,"[('Lucent 330S', 2), ('Thunder line', 2), ('Alcon 10', 2)]",24720.0,65.84,-37.8210396,144.9552382,25,18605.84,Autumn,True,1.1762,i purchased this to download books for school. screen too small and os was not to my liking,
ORD152479,ID0296027679,2019-01-05,Thompson,"[('Universe Note', 2), ('iAssist Line', 2), ('Lucent 330S', 1)]",12580.0,51.97,-37.8112753,144.9471699,15,10744.97,Summer,False,0.1559,scratches and too old device it has lot of scratches,0.0
ORD452973,ID1560149561,2019-09-27,Thompson,"[('pearTV', 1), ('Universe Note', 1)]",9760.0,100.36,-37.8153997,144.9378383,15,8396.36,Spring,True,0.8666,five stars excelent the best cell im front ecuador,1.0
ORD452188,ID4315295088,2019-05-31,Bakers,"[('Thunder line', 2), ('Olivia x460', 1)]",5585.0,79.71,-37.8173216,144.99145380000004,10,5106.21,Autumn,True,0.8805,all hail the king listen you get a phone that looks and works like brand new and guest what it doesn't cost 600 bucks you have to pay in installments . forget verizon this was a great choice,1.0
ORD285241,ID2841675054,2019-01-20,Nickolson,"[('Thunder line', 2), ('iStream', 1)]",4510.0,75.05,-37.80896,144.966146,25,3457.55,Summer,False,1.1136,"great but do your homework. awesome phone, except it still has sprint software active which does affect my verizon system...can't send picture messages or send/receive group chats.",1.0
ORD304041,ID0703550857,2019-02-09,Thompson,"[('iAssist Line', 1), ('Universe Note', 2)]",9125.0,95.67,-37.81013170000001,144.957781,25,6939.42,Summer,True,0.9836,thumbs up the phone was in excellent cosmetic and working shape. highly recommended,1.0
ORD410422,ID1217532938,2019-11-16,Thompson,"[('iStream', 2), ('Toshika 750', 2)]",8940.0,74.67,-37.816691,144.9491757,0,9014.67,Spring,False,0.4841,would purchase again. phone arrived in excellent “new” like condition. works great.,1.0
ORD014279,ID1668523258,2019-02-07,,"[('Candle Inferno', 1), ('pearTV', 2)]",13050.0,91.24,-37.8207581,144.96189740000003,0,13141.24,Summer,True,0.7148,"no complaints here. came on time and was in good shape, works well. i'm happy.",1.0
ORD416267,ID6167489416,2019-05-11,Thompson,"[('iStream', 2), ('Thunder line', 1), ('Alcon 10', 1), ('Candle Inferno', 2)]",12290.0,80.08,-37.81055070000001,144.9559633,25,9297.58,Autumn,True,0.8171,good buy! works great!,1.0
