order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD348366,ID0060088408,2019-11-12,Nickolson,"[('Olivia x460', 2), ('Thunder line', 1)]",4630,156.73499999999999,-37.819338,144.9836948,10,4323.735,Spring,True,1.2465,five stars love the phone it was flawless,True
ORD131648,ID3529934922,2019-11-05,Thompson,"[('pearTV', 2), ('Thunder line', 2)]",16980,86.6,-37.8100391,144.9047525,0,17066.6,Spring,False,3.733,one star junk period,False
ORD455400,ID6167417948,2019-11-08,Nickolson,"[('Thunder line', 2), ('Universe Note', 2)]",11260,84.62,-37.8141454,144.963143,15,9655.62,Spring,True,0.7503,wrong phone i ordered a white 128gb phone and got a black 64 gb phone,False
ORD127716,ID2392803738,2019-05-22,Nickolson,"[('iAssist Line', 2), ('pearTV', 1)]",10760,33.895,-37.8099693,144.9785167,0,10793.895,Autumn,False,1.2424,"like new i bought this renewed but was very pleasantly surprised that it looks brand new. no scratches, mars, or imperfections of any kind. no problem authorizing it with tradfone. i bought this to replace a olivia j7 and wish i had done it years ago. i luv my pixel ii !",True
ORD315358,ID0589420528,2019-12-25,Nickolson,"[('Universe Note', 1), ('Alcon 10', 1), ('Olivia x460', 2), ('iAssist Line', 1)]",17075,74.44,-37.8096936,144.9725985,5,16295.69,Summer,False,1.0265,bueno like,True
ORD263723,ID0140980391,2019-07-06,Nickolson,"[('Lucent 330S', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",8135,57.78,-37.79878660000001,144.9688961,5,7786.03,Winter,False,2.2058,no funciona el equipo no funciona en ecuador a pesar de que los comentarios responde que si funciona,False
ORD093185,ID0634785679,2019-09-17,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2)]",9070,58.93,-37.8139995,144.9396713,5,8675.43,Spring,False,0.6671,"wrong model sent im sorry but the item i recieved was not the exact model. instead it is ""xperia x compact"".",False
ORD094522,ID2640755142,2019-07-11,Thompson,"[('Alcon 10', 1), ('Toshika 750', 2)]",17590,64.99,-37.803438,144.9534492,25,13257.49,Winter,True,1.1712,one star it is a decent phone but not worth 1500 dollars....returned to digico.,False
ORD060430,ID0634784174,2019-11-01,Thompson,"[('Alcon 10', 1), ('iStream', 2), ('Thunder line', 2)]",13610,50.845,-37.8161613,144.9390294,0,13660.845,Spring,True,0.8066,five stars very good,True
ORD188146,ID1458418002,2019-06-16,Bakers,"[('Candle Inferno', 1), ('Universe Note', 2)]",7330,34.465,-37.8197026,145.0100131,25,5531.965,Winter,False,1.6903,happy with phone. got this phone for my birthday. love it. battery lasts for a long time.,True
ORD442854,ID0650272246,2019-05-03,Bakers,"[('Olivia x460', 2), ('Alcon 10', 2), ('iStream', 1)]",20500,52.24,-37.8127158,144.98161069999995,5,19527.24,Autumn,False,1.2356,don't bother buying refurbished worst phone i have had in 15 years do not bother buying this phone refurbished. battery lasts just a few hours. the headphone jack does not work and it takes forever for the bluetooth to connect to a phone.,False
ORD177361,ID6226013492,2019-04-05,Bakers,"[('iAssist Line', 1), ('pearTV', 2)]",14845,68.51,-37.8173222,145.0040415,25,11202.26,Autumn,False,1.1248,battery life is great. battery life is great.,True
ORD442699,ID0356092328,2019-07-18,Bakers,"[('Universe Note', 1), ('Thunder line', 1)]",5630,67.23,-37.8189277,144.998659,5,5415.73,Winter,False,1.0389,five stars great camera and mapping system.,True
